job_title,company_name,company_location,work_method,post_date,no_of_applicants,work_time,no_of_employees,industry,job_desc
Senior Carbon Data Analyst,Unravel Carbon (YC W22),"Singapore, Singapore",On-site,3 weeks ago,119 applicants,Full-time · Mid-Senior level,"501-1,000 employees",IT Services and IT Consulting,"About the job
About Unravel Carbon

Unravel Carbon is an enterprise software that helps companies track and reduce their carbon emissions, focusing on Asia, based in Singapore.

It is the first AI-powered decarbonization platform in Asia that converts any company’s accounting data into full supply chain carbon data in seconds, generates climate solutions automatically and auto-populates regulatory disclosure reports.

We aim to accelerate the participation of all companies, big and small, in the global fight against climate change. And we want to do it the 21st century way—autonomous, painless, and beautiful.

Unravel consists of a team of software engineers, data scientists, founders and climate experts with a passion to solve the world’s most pressing issue—climate change. Collectively, our leadership team has launched and invested in multiple companies, and are now combining their experience and knowledge here at Unravel.

We are backed by some of the world’s best funds and investors such as Y Combinator, Sequoia, Alpha JWC, Rebel Fund and Bradley Horowitz.

Unravel was founded in Q4/2021 with headquarters in Singapore.

About the role

We are looking for a Senior Carbon Data Analyst to join our early, growing data team. It is a great opportunity to join a company that can significantly impact fighting climate change.

As the data team, we strive to help our customers measure and understand their carbon data. Some of the traits that we promote within the team are ownership, curiosity, transparency, and a strong writing culture.

You will collaborate closely with our sustainability experts, data scientists, software engineers, data engineers, and product managers to deliver the core process that enables our customers to solve the problem of understanding their carbon data.

What you will work on

Work with our sustainability team and own the end-to-end process to help our customers measure and understand their carbon data
Work with our customers to help them understand the data they need to collect
Help our customers ingest their transaction and activity data into our carbon engine
Build out proprietary carbon data set and design how we should stucture this data
Improve our measurement methodology by developing new calculation methods
Lead our efforts while collaborating with our data engineers, data scientists, and software engineers in designing the structure of our proprietary carbon data set
Continuously expand and improve the quality of our proprietary carbon data set

About you

You have 2-5 years of experience working in a data and/or analytical client-facing role
You are an analytical problem solver and able to apply this skill set to large complex unstructured data sets
You have technical experience working with data in python, SQL, and Excel
You have a strong sense of ownership and are detail-oriented
You have strong written and verbal communication and enjoy working cross-functionally
You thrive in a fast-paced environment and enjoy learning
You are persistent and capable of handling ambiguity to reach a positive outcome
You are excited and interested in solving the climate change problem

Bonus points if

You have experience in carbon accounting and/or sustainability
You have knowledge of emission inventories across corporate value chains
You have knowledge of GHG emissions calculations methodologies for Scope 3 emissions estimation
You have experience working with external clients as well as data engineers, data scientists, and software engineers

What we offer you

We offer an exciting challenge for a purpose-driven person who thoroughly enjoys learning and takes up responsibilities in a multicultural pioneering organization.

We nurture a culture that allows you to thrive, where your skills can be honed and your ideas will be heard, and where collaboration across teams and with global partners is the default."
Senior Security Engineer (Penetration Testing),Infosys Compaz Pte Ltd,"Singapore, Singapore",On-site,3 months ago,22 applicants,Full-time · Mid-Senior level,"10,001+ employees",Telecommunications,"About the job
What do we do?
At Infosys Compaz(iCompaz), we focus on Digital Transformation for enterprises across industry vertical segments and services. We take clients on a rewarding journey of Digital Transformation, with strengths in AI, Data, User Experience, Cloud, Cybersecurity and Analytics, while also serving clients in their IT management in technology operations, infrastructure and applications. We serve a comprehensive client network spanning multiple industries and are helping clients meet the challenges of the digital economy in financial services, retail, transportation and logistics, telecom, services, and resource sectors, among others.


Job Description

Key Responsibilities:

Perform regular Threat Modeling and VA PT of Cloud Infrastructure & services with manual and automated methods. Provide in-depth threat analysis with remediation actions.
Contribute to all levels of the architecture from a security perspective. Serve as a security expert during the whole development process, mitigate security vulnerabilities and prepare recommendations for hardening,
Monitor and evaluate security controls throughout the multi-cloud environment and implement security enhancements.
Documenting and disseminating cloud security standards baseline.
Ability to create, develop, and deploy security solutions, infra as code, docker & Kubernetes, EKS/ECS, CI/CD pipelines. Integrating and automating the cloud security best practices.
Have a mature understanding of coverage and risk as an outcome of pen-testing as it relates to security posture and business needs.
Track and research the latest developments in vulnerability research to harden our defense
Build relationships with engineering teams to drive products to a mature security state

Key Requirements:
3+ years of professional experience in any three of areas; cloud security, network security, application security, security engineering, cryptography, with hands-on penetration testing experience.
3+ years of experience with complex system, network, or service architecture and design reviewing and threat model.
Deep, progressive experience with AWS security concepts, including IAM, STS, and AWS specific security controls and security architecture design patterns.
Experience with serverless design concepts and supporting services including S3, SQS, SNS, CloudFront, DynamoDB, Lambda and, API Gateway.
Familiarity with DevOps engineering concepts, infrastructure automation, pipelines, version control, and deployment strategies are also a plus.
Experience with multiple programming languages (such as Java, Python, Go) for both tool development and code review
Ability to perform automation using Terraform/Ansible/Chef/Puppet, Docker/Kubernetes, and any one CI tools (e.g. Jenkins, Gitlab, Travis CI etc.)

Why iCompaz?
iCompaz is a Joint Venture between Infosys Limited and Temasek Holdings, both global leaders in their respective industries, and the JV was created exclusively to bring Digital Transformation capabilities and global skills to the ASEAN market. Temasek Holdings is a global investment company headquartered in Singapore. Infosys is a global leader in next-generation digital services and consulting, headquartered in Bangalore, India.
We take pride in our fair employment opportunity. You are welcome at iCompaz regardless of age, race, gender, religion, marital status and family responsibilities, or disability.
We offer an inclusive and diverse workplace environment to support your career aspirations. We have a strong emphasis on continuous learning to your professional and personal growth. If you are looking for an opportunity where you would be able to make an impact with what you are good at, and at the same time being able to explore any other area that interests or motivates you, WE’VE GOT YOU COVERED!"
Senior Data Specialist,Singtel,"Singapore, Singapore",Hybrid,1 week ago,36 applicants,Full-time,"501-1,000 employees",Higher Education,"About the job
We are looking for a Senior Data specialist to delivery and operate the most advanced big data lake for mobile and broadband network. He/she will lead a team of operations specialists in ensuring proper flow of data pipes and uphold service level of the system. He/she will be part of Singtel Digital Platforms Division, Network Analytics Engineering team to deploy and operate a big data lake, network probes and location services platform. He/she will support data engineers and scientists to provide analytics insights on network performance as well as uncover new insights to improve network customer experience. .

This is a hands-on position; the candidate must be willing to “roll up the sleeves” and yet think strategically. You must be able to create solutions to difficult problems, drive strategic initiatives, have excellent project management skills, and be able to lead and train a team of domain experts on new tools and technology. The candidate will be the key contact point and provide hands-on technical guidance to the team and problem solving.

The candidate will also play a role of architect to design, deliver and support Kafka integrations between the data lake and various data systems. This involves explore and align Data API and Kafka integration for data sharing with various data source owners.

Key Responsibilities
Maintain high level of Data pipelines and system availability (Data Integrity & Systems 95%+)
Achieve zero SL1 and cyber-security incidents
Resolve trouble tickets within the given SLA.
Achieve ISO22301 certification for business continuity
Use Ansible and scripting to automate system operations.
Ensure operational processes for the respective systems are well documented. This include system inventories, solution doc, IP/Network design, SOPs etc.
Update systems to the latest stable Software version. Keep the system updated with the Periodic patch updates (OS, software, Firmware, Switches, Firewall) – Half yearly/yearly.
Create proper MOP (Method of Procedures) for any configuration change activities and achieve full success rate for any planned / break-fix activities.
Conduct monthly operations review and quarterly Audits on time and Tickets resolution within SLA. Ensure all audit items are adequately addressed and close-off.
Ensure no gaps in security monitoring. Perform bi-weekly Antimalware signature updates and monthly Scans. Address immediately the Security vulnerability patching needs.
Complete and report IOC scans and security patches to network Security Operation Centre. Support various security initiatives to achieve full audit compliance.
Drives use of automation for deployment and implement near real-time alerts for security or critical issues.
Deploy PIAM (Physical access and Identity management) for the user account administration to improve security and avoid manual password changes/management and control and keep track of the elevated privileged user accounts logins.
Manage and maintain a Centralise log server to store all logs and process to expeditiously support investigations into security incidents and application issue troubleshooting.
Manage Service Delivery for the deliverables from either in house development team or vendor.
Lead Incident Management and provide timely update to the Management and accountable for the RCA of the managed platforms.
We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.

The Ideal Candidate Should Possess
Bachelor's degree in IT, Computer Science or equivalent.
At least 8 years of experience in the area of big data, data warehousing operations. Successfully implemented large-scale data warehouse / data lake. At least 3 years of experience in managing a delivery and operations team.
Experience in Big Data technologies e.g. Hadoop and Spark Ecosystems. In-depth knowledge of Big Data Lake, network probes and telecom network data including mobile and broadband. Knowledge of data architecture such as on-premise enterprise data warehouse, data federation, hub & spoke architectures and cloud native architecture.
Strong technical skills in System hardening (Linux , Switches , Windows , Databases) standards based on CIS Framework initiated by Singtel and perform acceptance test to validate the hardening applied correctly and perform periodic security review using tools for scanning to detect vulnerabilities and work to mitigate the risks.
Hands-on experience in handling incident, problem, configuration, capacity and availability management.
Experience with modern application development using technologies such as Kubernetes, Docker, serverless functions, APIs, Kafka, etc.
Knowledge of Python, Linux, Ansible automation. Preferably certified as Red Hat Architect.
Good knowledge in Analytics-related technical platform and Analytics tools EDW, Reporting, Architecture, Data Modelling, data mining and AI/ML.
Adequate understanding of Data protection, security and privacy aspect in Singapore.
Team building experience"
Research Assistant/Engineer (SKJ5),Singapore Institute of Technology,"Singapore, Singapore",Hybrid,1 week ago,41 applicants,Full-time,51-200 employees,Software Development,"About the job
As a University of Applied Learning, SIT works closely with industry in our research pursuits. Our research staff will have the opportunity to be equipped with applied research skill sets that are relevant to industry demands while working on research projects in SIT.

The primary responsibility of this role is to deliver on an industry innovation research project funded by Building Construction Authority, where you will be part of the research team under project titled: Mixed-mode Ventilation for Office Buildings in the Tropics in collaboration with Department of Building, NUS.

The main aim of the project is to develop a real-time occupant centric sensing and control strategy that optimises total building performance for mixed-mode ventilation in the tropics

Under this job title, you will be part of Work-Package 1, who has the role to conduct laboratory experiment on thermal comfort study different scenarios of mixed-ventilation implementation in a building.

Key Responsibilities:
Participate in and manage the research project with Principal Investigator (PI), Co-PI and the research team members to ensure all project deliverables are met.
Undertake these responsibilities in the project:

i. Assists in co-supervision of final year projects (FYP) or capstone projects students under the Project PI.

ii. Meeting the deliverables by carrying out the computational simulations and experimental studies planned for under the scope of work of the projects within the timeframe to meet the deliverables.

iii. Assists the PI in drafting of reports, conference proceedings and journal articles based on the outcome of the projects.

iv. Prepares and shares fortnightly report of results from the computations with the program director and PI.
Carry out Risk Assessment, and ensure compliance with Work, Safety and Health Regulations.
Coordinate procurement and liaison with vendors/suppliers.
Work independently, as well as within a team, to ensure proper operation and maintenance of equipment.

Job Requirements:
Bachelor’s degree or Master (will be an advantage) in Mechanical Engineering, Building Services
Strong knowledge and experience in building HVAC systems and control is needed
Hands on experience on experimental studies, thermal comfort study is high advantageous.
Experience in retrofitting building project including experience in project management, working with contractors and suppliers, especially building HVAC system is needed
Able to work independently with strong data analytical skills, communication and interpersonal skills."
Data Engineer Intern,KNOREX,"Singapore, Singapore",On-site,1 month ago,36 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Investment Banking,"About the job
Develop clever algorithms and pragmatic solutions to our data analytics problems.
Develop metrics to measure the outcome/impact of your introduced solutions.
Work with other members to implement and integrate into our existing systems.
Document and improve the solutions over time.
Evaluate and identify new technologies for implementation.
Communicate with our business and technical teams to understand the analytics requirements.
Respond and follow up to incorporate feedback and draw new insights.
Prioritise tasks to meet multiple deadlines.

Requirements
Good knowledge of algorithms and data structures
Strong in analytics and problem solving technique
Willingness to learn and able to pick up new technology or new concepts fast;
Able to work independently as well as in collaborative mode with minimum supervision;
Possess good work ethic, attitude with good follow-through;"
"Engineer, Customer Identity and Access Management (CIAM)",TD Securities,"Singapore, Singapore",Hybrid,3 weeks ago,68 applicants,Full-time · Associate,"10,001+ employees",IT Services and IT Consulting,"About the job
TD Bank Group
Headquartered in Toronto, Canada, with more than 90,000 employees around the world, the Toronto-Dominion Bank and its subsidiaries are collectively known as TD Bank Group (TD). TD offers a full range of financial products and services to over 27 million customers worldwide through three key business lines:

Canadian Retail including TD Canada Trust, Business Banking, TD Auto Finance (Canada), TD Wealth (Canada), TD Direct Investing and TD Insurance
U.S. Retail including TD Bank, America’s Most Convenient Bank, TD Auto Finance (U.S.), TD Wealth (U.S.) and TD’s investment in Schwab
Wholesale Banking including TD Securities

TD had CDN$1.9 trillion in assets on October 31, 2022. TD also ranks among the world’s leading online financial services firms, with more than 15 million active online and mobile customers. The Toronto-Dominion Bank trades on the Toronto and New York stock exchanges under the symbol ""TD"".

In Singapore, TD operates as The Toronto-Dominion Bank, Singapore Branch and Toronto Dominion (South East Asia) Limited, which are collectively known as “TD Singapore” since 1979. The key business in Singapore is TD Securities which is part of Wholesale Banking.

Job Description:
As the Engineer, Customer Identity and Access Management (CIAM) you operate in a team of fast-paced experts that design and implement policy logic supporting identity proofing, authentication, and authorization for customer identities across an integrated enterprise CIAM solution set. Your team prevents and disrupts account-level attacks targeting the global digital properties of TD.

Your key partners are a cyber-fraud focused data science team that is constantly measuring results and surfacing opportunities for improvement and Fusion incident management teams that needs your help to implement countermeasures while responding to active threats.

To excel in this role you need deep experience in the areas of: digital identity verification (identity proofing); customer authentication; authorization concepts, and related ecosystem integration.

In advancing the Protect Platform's objectives you will collaboratively build and maintain highly effective and robust controls to protect TD Bank and our customers.

Responsibilities / Accountabilities:
Partner closely with leads in Cyber-Fraud threat modeling, hunting, and data science to maintain optimized protection logic across an integrated CIAM solution suite;
Develop and maintain SME knowledge of dependencies and interconnections for and between CIAM solution components along with upstream and downstream controls that form the end-to-end layers of defense that protect our customers and the Bank;
Design, implement, maintain, and optimize CIAM adaptive strategy in accordance with internal guiding principles and standards;
Support development partners with formal QA and UAT review, as well as pre-launch preparation and planning;
Provide technical expertise and solutioning in response to cyber-fraud events and incidents;
Develop, solution, and invoke countermeasures to react to cyber incidents that exploit CIAM solution suite components;
Build and maintain relationships with CIAM solution vendors for solutions in-use at TD while maintaining knowledge of emerging solutions;
Conducts detailed root case analysis specific to CIAM solution set components when one or more components are involved in an incident as defined by TD's incident management team(s);
Maintain knowledge of internationally recognized standards and best practices (eg. NIST Digital Identity Guidelines);
Develop and maintain knowledge of product team customer experience objectives and find ways to enable a legendary customer experience while providing best-in-class security;
Convey business and data requirements and support automation of existing manual analysis and testing;
Contribute to TD's CIAM roadmap including the analysis, design and documentation to provide an improved environment and reduced risks;
Support response to second and third line-of-defense inquiries and assessments of CIAM solution suite controls.

Job Requirements:
The incumbent should possess a minimum of three years of experience in authentication and identity proofing strategy with strong expertise in a combination of: digital identity proofing; risk-based authentication and authentication logic flaws; and cyber-fraud across Canada, the US, and beyond. They must maintain the highest professional standards regarding personal conduct while performing work, and must possess the ability to communicate complex information, concepts or ideas in a confident, well-organized and succinct manner. This role works core business hours but you and your team may be called upon 24/7 in the event of a high-severity incident that requires your expertise.

Share your credentials, but your relevant experience and knowledge can be just as likely to get our attention. It helps if you have:
Experience with customer identity and access management, preferably in a financial services environment.
Expert level knowledge of common customer identity and access management (CIAM) concepts and tools.
Knowledge of common security threats, industry best practices, security technologies and a strong ability to interpret and apply threat intelligence.
Extensive experience with log analysis, knowledge of query structures, and regular expressions.
Related industry certification (preferred CISSP, CISM, CISA, CEH, you get the idea…).
Strong communication skills with the ability to provide technical guidance within your domain.

Inclusiveness
At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected, and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs."
Sharepoint Analyst (Singapore-based),NCS Group,"Singapore, Singapore",Hybrid,3 weeks ago,74 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Financial Services,"About the job
Are you looking for value adding and impactful work?
Do you want to make a difference with your expertise?

With us, you’ll be able to make it happen.

NCS is a leading technology services firm, operating across Asia Pacific in over 20 countries, providing services and solutions in consulting, digital services, technology, and more.

We believe in utilizing the power of technology to make extraordinary things happen and to create lasting impact and value for our people, communities, and partners. Our diverse 12,000-strong workforce has delivered a wealth of large-scale, mission-critical, and multi-platform projects for governments and enterprises in Singapore and the APAC region.

What we do
We drive our passion for harnessing technology.
We bring people and technology together.
We advance communities and transform industries.

We’re searching for a Sharepoint Analyst to be part of our diverse team of talent here at NCS!

If you believe in going above and beyond, want to exemplify the best, and wish to bring people and technology together like never before, then we would love to have a conversation with you!

What we seek to accomplish together:
Help customers maximize their investment in SharePoint
Support of existing customer applications built on the SharePoint platform
Support of internal applications
Identify and resolve system issues
Help clients resolve application problems.
Create database queries using SQL
Maintain organized and informative system documentation
Coordinate project activities with client

A little about you:
At least 1 Year of experience on SharePoint applications development using client-side scripting JSOM, CSOM, C#.
Knowledge on SharePoint 2010 / 2013 and higher, SharePoint Online, Power Automate, PowerApps
Knowledge on Asp.Net, C#, API, MVC
Hands-on experience in client-side development and maintenance utilizing JavaScript, jQuery (and related libraries) and CSS3/HTML5
Knowledge on Site Collection Administration, SharePoint Out of Box features like SharePoint List, Libraries, Workflows, Webparts, Master Pages, Permissions Management
Experience in on-premises infrastructure components such as Internet Information Server, Active Directory, ADFS and Web Application Proxy
Knowledge on Office 365 products and Azure, SharePoint Framework is an added advantage.
Proactive individual contributor & team player
Have effective analytical & problem-solving skills

About NCS Group
We want to create the extraordinary, and to impact millions of people everyday.
We believe in building a talent-led delivery model to enable our best people to lead, and to support them with the right structure, processes, and tools to ensure that our clients are delivered top quality services.

We want to invest in you!

Great work is never done alone, and that’s why we also believe in creating a collaborative work environment to bring people with different expertise and talent together.

We create opportunities for our people to grow in our organization with well-defined career tracks and specializations to ensure that our people and talent can continuously deliver new value for our clients.

We’re here to make the extraordinary happen.

Learn more at ncs.co and our LinkedIn Career site.

All profiles are handled with highest level of confidentiality.

We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated."
Data Scientist Intern - Singapore,Artefact,"Singapore, Singapore",On-site,3 days ago,119 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Insurance,"About the job
Who We Are

Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we’re enjoying skyrocketing growth.

Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we’ve acquired with our 1000+ client base around the globe.

We have 1000 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.

Key Responsibilities

As a Data Scientist Intern, your role will encompass:
Conducting ambitious projects in the transformation of clients through data
Collaborating with the other Divisions (Activation, Creativity, and Strategy) to provide comprehensive services to your clients
Developing privileged relationships with our clients, using your technical abilities to assist in the transformation of their marketing department
Among your responsibilities as a Data Scientist Intern, you will be responsible for:

Performing data projects
Securing delivery on your projects
Communicating your work and achievements among the team
Working closely with your Consulting counterpart to build and maintain strong relationships with your clients and best understand their needs
Ensuring that your solutions are bringing values to the client problematic
Being a good team player, knowing your role and responsibility in the global ambition
Being a great tech person
Demonstrating the skill and credibility required to ensure the success of our clients’ initiatives
Researching and developing new technical approaches to address problems efficiently
Sharing best practices and contributing to Artefact’s institutional knowledge
Embodying Artefact’s values and inspiring others to do the same
What We Are Looking For
Currently pursuing a BA/BS or MA/MS in machine learning, mathematics, computer science, or related fields (computer science, statistics, engineering, economics, or a related field) from an accredited college or university.
0-1 years of related experience supporting engineering, information technology or other technical operations. A first experience (internship, school project, Junior Entreprise, etc.) in consulting and/or data ecosystem would be a plus.
Good understanding of the digital and data ecosystem and its technologies: web analytics, programmatic, DMP, Datalake, dataviz, data science, etc.
Strong interest in marketing & business issues
Intellectual curiosity, along with on excellent problem-solving skill, including the ability to disaggregate issues, identify root causes and recommend solutions
A practical and analytical mind-set, you will be passionate about the creation of bespoke solutions for our clients
Continuously striving for high performance in all you do
Good Communication skills
Ideal candidates should be passionate about using business acumen along with big data and analytics to address real-world problems and drive significant change."
Staff/Senior Risk Data Scientist,Airwallex,"Singapore, Singapore",Hybrid,1 week ago,65 applicants,Full-time · Associate,"10,001+ employees",Entertainment Providers,"About the job
Airwallex is the leading financial technology platform for modern businesses growing beyond borders. With one of the world’s most powerful payments and banking infrastructure, our technology empowers businesses of all sizes to accept payments, move money globally, and simplify their financial operations, all in one single platform.

Established in 2015 in Melbourne, our purpose is to connect entrepreneurs, business builders, makers and creators with opportunities in every corner of the world. Today, Airwallex has a global footprint across Asia-Pacific, Europe, and North America.

The Role: This is a diverse role working within Airwallex’s risk product & analytics domain with a focus on delivering data insights to drive product & analytics optimisations and enhancements. Airwallex is building a centralised risk platform that will harness advanced analytics and machine learning techniques to enable real-time decisioning across a diverse range of product lines and platforms. The risk product & analytics domain is responsible for building the platforms, engines & case management whilst also delivering the risk models so you will be involved in crafting the full end-to-end risk capability.

Responsibilities：

Work with risk stakeholders throughout the company to identify opportunities for leveraging company data to drive risk solutions.
Mine and analyze data from the company database to drive optimization and improvement of risk strategies.
Assess the effectiveness and accuracy of new risk data sources and data gathering techniques.
Develop customized data models and algorithms to risk data sets and communicate the insights of the models to related stakeholders.
Develop A/B testing framework and test model quality for risk product.
Coordinate with multiple functional teams to implement models and monitor performance.
Develop processes and tools to monitor and analyze model performance and data accuracy.

Qualifications：

Bachelor's degree or higher in Computer Science, Math & Statistics, Finance & Economics, Engineering or related data disciplines.
At least 7 years of experience as a data analyst, data scientist or data engineer.
Strong problem-solving skills with an emphasis on risk-related product development.
Hands-on and solid experiences in using statistical computer languages (Python, R, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, simulation, properties of distributions, statistical tests, etc.) and experience with applications.
A drive to learn and master new technologies and techniques.
Excellent written and verbal communication skills in English for coordinating across teams.
Experience working on data-driven financial risk models (e.g., money-laundering risk, credit risk, fraud risk) is preferred.10 . Experience running data analytics under cloud environments and using web applications is preferred.

At Airwallex you’ll have the ability to make an impact in a rapidly growing, global fintech. We want you to share in our success, which is why you’ll be offered a competitive salary plus valuable equity within Airwallex. We also like to ensure we create the best environment for our people by providing a collaborative open office space with a fully stocked kitchen. We organise regular team building events and we give our people the freedom to be creative.

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard colour, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary."
Senior Data Scientist,GREAT EASTERN,"Singapore, Singapore",Hybrid,1 week ago,12 applicants,Full-time,"1,001-5,000 employees",Security and Investigations,"About the job
Job Purpose

Reporting to the Lead of Data Science, this role is responsible to ensure the successful delivery of group wide data science initiatives. These initiatives typically include the application of data science models on structured, semi structured and unstructured data to derive business insights with a potential to drive business performance.

The Senior Data Scientist is expected to work closely with key stakeholders and possess the relevant technical skills required to implement data science solutions that enable the use of data as a strategic asset.

The Job
Participate in the build of group wide data science capabilities, with a focus on organizing, analysing and interpreting data to uncover patterns and trends and establishing how these findings can help increase business value through making better informed decisions.
Perform exploratory data analysis, build and enhance data science models to help drive business performance.
Work closely with business stakeholders to drive integration and adoption of analytics insights into new and existing business processes by demonstrating the ability to communicate the business benefits provided by analytics insights.
Conduct regular reviews on planned and existing data science initiatives and identify ways to develop integrated data science solutions across geography and function.
Support the build of data products including data science feature stores to support the build of data science models.
Support the build of visual dashboards primarily aimed at monitoring the outcomes of data science models.
Ensure all data science project undertaking comply with both internal and external policies, guidelines and regulations.
Provide group level support to extended data science team based in other GE offices.
Takes accountability in considering business and regulatory compliance risks and takes appropriate steps to mitigate the risks.
Maintains awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company.
Highlights any potential concerns /risks and proactively shares best risk management practices.
Our Requirements
Masters or BS in Business Analytics, Computer Science, Statistics, Economics, Actuarial Science or equivalent disciplines that focuses on extensive use of data for analysis.
5 to 7 years of experience participating in data science and analytics projects as an individual contributor required.
Working level competency in Python and SQL programming required
Practical knowledge in statistical and machine learning techniques including GLM, Regression, Random Forest, Boosting, Trees, Text Mining, Network analysis, etc required.
Practical knowledge in open source libraries such as scikit-learn, numpy, TensorFlow etc. is required.
Experience in data visualization software such as Tableau is a plus.
Experience in using BigQuery, Google Analytics and Amazon SageMaker is a plus.
Experience in insurance or financial services industry is a plus.
High level of integrity, takes accountability of work and good attitude over teamwork.
Takes initiative to improve current state of things and adaptable to embrace new changes.
To all recruitment agencies: Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes."
