job_title,company_name,company_location,work_method,work_type,seniority_level,days_from_post_date,no_of_applicants,no_of_employees,industry,industry_new,tool_python,tool_r,tool_sql,lib_numpy,lib_matplotlib,lib_pandas,lib_scipy,lib_scikit,lib_theano,lib_tensorflow,lib_keras,lib_pytorch,lib_cntk,lib_mxnet
Senior Carbon Data Analyst,Unravel Carbon (Yc W22),Singapore,On-site,Full-time,Mid-Senior level,21,119,501-1000,IT Services and IT Consulting,Information Technology,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Senior Security Engineer ,Infosys Compaz Pte Ltd,Singapore,On-site,Full-time,Mid-Senior level,84,22,10001+,Telecommunications,Telecommunications,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Specialist,Singtel,Singapore,Hybrid,Full-time,,7,36,501-1000,Higher Education,Education,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Research Assistant/Engineer ,Singapore Institute Of Technology,Singapore,Hybrid,Full-time,,7,41,51-200,Software Development,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Intern,Knorex,Singapore,On-site,Full-time,Mid-Senior level,28,36,1001-5000,Investment Banking,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engineer, Customer Identity And Access Management ",Td Securities,Singapore,Hybrid,Full-time,Associate,21,68,10001+,IT Services and IT Consulting,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharepoint Analyst ,Ncs Group,Singapore,Hybrid,Full-time,Mid-Senior level,21,74,1001-5000,Financial Services,Financial Services,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist Intern - Singapore,Artefact,Singapore,On-site,Full-time,Mid-Senior level,3,119,1001-5000,Insurance,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staff/Senior Risk Data Scientist,Airwallex,Singapore,Hybrid,Full-time,Associate,7,65,10001+,Entertainment Providers,Entertainment and Media,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,Great Eastern,Singapore,Hybrid,Full-time,,7,12,1001-5000,Security and Investigations,Others,1,0,1,1,0,0,0,1,0,1,0,0,0,0
